Layer,Shape,Memory_MB,Pickle_MB
features.0.0,"[1, 32, 112, 112]",1.5312,1.5316
features.0.1,"[1, 32, 112, 112]",1.5312,1.5316
features.0.2,"[1, 32, 112, 112]",1.5312,1.5316
features.1.conv.0.0,"[1, 32, 112, 112]",1.5312,1.5316
features.1.conv.0.1,"[1, 32, 112, 112]",1.5312,1.5316
features.1.conv.0.2,"[1, 32, 112, 112]",1.5312,1.5316
features.1.conv.1,"[1, 16, 112, 112]",0.7656,0.766
features.1.conv.2,"[1, 16, 112, 112]",0.7656,0.766
features.2.conv.0.0,"[1, 96, 112, 112]",4.5938,4.5941
features.2.conv.0.1,"[1, 96, 112, 112]",4.5938,4.5941
features.2.conv.0.2,"[1, 96, 112, 112]",4.5938,4.5941
features.2.conv.1.0,"[1, 96, 56, 56]",1.1484,1.1488
features.2.conv.1.1,"[1, 96, 56, 56]",1.1484,1.1488
features.2.conv.1.2,"[1, 96, 56, 56]",1.1484,1.1488
features.2.conv.2,"[1, 24, 56, 56]",0.2871,0.2875
features.2.conv.3,"[1, 24, 56, 56]",0.2871,0.2875
features.3.conv.0.0,"[1, 144, 56, 56]",1.7227,1.7231
features.3.conv.0.1,"[1, 144, 56, 56]",1.7227,1.7231
features.3.conv.0.2,"[1, 144, 56, 56]",1.7227,1.7231
features.3.conv.1.0,"[1, 144, 56, 56]",1.7227,1.7231
features.3.conv.1.1,"[1, 144, 56, 56]",1.7227,1.7231
features.3.conv.1.2,"[1, 144, 56, 56]",1.7227,1.7231
features.3.conv.2,"[1, 24, 56, 56]",0.2871,0.2875
features.3.conv.3,"[1, 24, 56, 56]",0.2871,0.2875
features.4.conv.0.0,"[1, 144, 56, 56]",1.7227,1.7231
features.4.conv.0.1,"[1, 144, 56, 56]",1.7227,1.7231
features.4.conv.0.2,"[1, 144, 56, 56]",1.7227,1.7231
features.4.conv.1.0,"[1, 144, 28, 28]",0.4307,0.4311
features.4.conv.1.1,"[1, 144, 28, 28]",0.4307,0.4311
features.4.conv.1.2,"[1, 144, 28, 28]",0.4307,0.4311
features.4.conv.2,"[1, 32, 28, 28]",0.0957,0.0961
features.4.conv.3,"[1, 32, 28, 28]",0.0957,0.0961
features.5.conv.0.0,"[1, 192, 28, 28]",0.5742,0.5746
features.5.conv.0.1,"[1, 192, 28, 28]",0.5742,0.5746
features.5.conv.0.2,"[1, 192, 28, 28]",0.5742,0.5746
features.5.conv.1.0,"[1, 192, 28, 28]",0.5742,0.5746
features.5.conv.1.1,"[1, 192, 28, 28]",0.5742,0.5746
features.5.conv.1.2,"[1, 192, 28, 28]",0.5742,0.5746
features.5.conv.2,"[1, 32, 28, 28]",0.0957,0.0961
features.5.conv.3,"[1, 32, 28, 28]",0.0957,0.0961
features.6.conv.0.0,"[1, 192, 28, 28]",0.5742,0.5746
features.6.conv.0.1,"[1, 192, 28, 28]",0.5742,0.5746
features.6.conv.0.2,"[1, 192, 28, 28]",0.5742,0.5746
features.6.conv.1.0,"[1, 192, 28, 28]",0.5742,0.5746
features.6.conv.1.1,"[1, 192, 28, 28]",0.5742,0.5746
features.6.conv.1.2,"[1, 192, 28, 28]",0.5742,0.5746
features.6.conv.2,"[1, 32, 28, 28]",0.0957,0.0961
features.6.conv.3,"[1, 32, 28, 28]",0.0957,0.0961
features.7.conv.0.0,"[1, 192, 28, 28]",0.5742,0.5746
features.7.conv.0.1,"[1, 192, 28, 28]",0.5742,0.5746
features.7.conv.0.2,"[1, 192, 28, 28]",0.5742,0.5746
features.7.conv.1.0,"[1, 192, 14, 14]",0.1436,0.1439
features.7.conv.1.1,"[1, 192, 14, 14]",0.1436,0.1439
features.7.conv.1.2,"[1, 192, 14, 14]",0.1436,0.1439
features.7.conv.2,"[1, 64, 14, 14]",0.0479,0.0482
features.7.conv.3,"[1, 64, 14, 14]",0.0479,0.0482
features.8.conv.0.0,"[1, 384, 14, 14]",0.2871,0.2875
features.8.conv.0.1,"[1, 384, 14, 14]",0.2871,0.2875
features.8.conv.0.2,"[1, 384, 14, 14]",0.2871,0.2875
features.8.conv.1.0,"[1, 384, 14, 14]",0.2871,0.2875
features.8.conv.1.1,"[1, 384, 14, 14]",0.2871,0.2875
features.8.conv.1.2,"[1, 384, 14, 14]",0.2871,0.2875
features.8.conv.2,"[1, 64, 14, 14]",0.0479,0.0482
features.8.conv.3,"[1, 64, 14, 14]",0.0479,0.0482
features.9.conv.0.0,"[1, 384, 14, 14]",0.2871,0.2875
features.9.conv.0.1,"[1, 384, 14, 14]",0.2871,0.2875
features.9.conv.0.2,"[1, 384, 14, 14]",0.2871,0.2875
features.9.conv.1.0,"[1, 384, 14, 14]",0.2871,0.2875
features.9.conv.1.1,"[1, 384, 14, 14]",0.2871,0.2875
features.9.conv.1.2,"[1, 384, 14, 14]",0.2871,0.2875
features.9.conv.2,"[1, 64, 14, 14]",0.0479,0.0482
features.9.conv.3,"[1, 64, 14, 14]",0.0479,0.0482
features.10.conv.0.0,"[1, 384, 14, 14]",0.2871,0.2875
features.10.conv.0.1,"[1, 384, 14, 14]",0.2871,0.2875
features.10.conv.0.2,"[1, 384, 14, 14]",0.2871,0.2875
features.10.conv.1.0,"[1, 384, 14, 14]",0.2871,0.2875
features.10.conv.1.1,"[1, 384, 14, 14]",0.2871,0.2875
features.10.conv.1.2,"[1, 384, 14, 14]",0.2871,0.2875
features.10.conv.2,"[1, 64, 14, 14]",0.0479,0.0482
features.10.conv.3,"[1, 64, 14, 14]",0.0479,0.0482
features.11.conv.0.0,"[1, 384, 14, 14]",0.2871,0.2875
features.11.conv.0.1,"[1, 384, 14, 14]",0.2871,0.2875
features.11.conv.0.2,"[1, 384, 14, 14]",0.2871,0.2875
features.11.conv.1.0,"[1, 384, 14, 14]",0.2871,0.2875
features.11.conv.1.1,"[1, 384, 14, 14]",0.2871,0.2875
features.11.conv.1.2,"[1, 384, 14, 14]",0.2871,0.2875
features.11.conv.2,"[1, 96, 14, 14]",0.0718,0.0722
features.11.conv.3,"[1, 96, 14, 14]",0.0718,0.0722
features.12.conv.0.0,"[1, 576, 14, 14]",0.4307,0.4311
features.12.conv.0.1,"[1, 576, 14, 14]",0.4307,0.4311
features.12.conv.0.2,"[1, 576, 14, 14]",0.4307,0.4311
features.12.conv.1.0,"[1, 576, 14, 14]",0.4307,0.4311
features.12.conv.1.1,"[1, 576, 14, 14]",0.4307,0.4311
features.12.conv.1.2,"[1, 576, 14, 14]",0.4307,0.4311
features.12.conv.2,"[1, 96, 14, 14]",0.0718,0.0722
features.12.conv.3,"[1, 96, 14, 14]",0.0718,0.0722
features.13.conv.0.0,"[1, 576, 14, 14]",0.4307,0.4311
features.13.conv.0.1,"[1, 576, 14, 14]",0.4307,0.4311
features.13.conv.0.2,"[1, 576, 14, 14]",0.4307,0.4311
features.13.conv.1.0,"[1, 576, 14, 14]",0.4307,0.4311
features.13.conv.1.1,"[1, 576, 14, 14]",0.4307,0.4311
features.13.conv.1.2,"[1, 576, 14, 14]",0.4307,0.4311
features.13.conv.2,"[1, 96, 14, 14]",0.0718,0.0722
features.13.conv.3,"[1, 96, 14, 14]",0.0718,0.0722
features.14.conv.0.0,"[1, 576, 14, 14]",0.4307,0.4311
features.14.conv.0.1,"[1, 576, 14, 14]",0.4307,0.4311
features.14.conv.0.2,"[1, 576, 14, 14]",0.4307,0.4311
features.14.conv.1.0,"[1, 576, 7, 7]",0.1077,0.1081
features.14.conv.1.1,"[1, 576, 7, 7]",0.1077,0.1081
features.14.conv.1.2,"[1, 576, 7, 7]",0.1077,0.1081
features.14.conv.2,"[1, 160, 7, 7]",0.0299,0.0303
features.14.conv.3,"[1, 160, 7, 7]",0.0299,0.0303
features.15.conv.0.0,"[1, 960, 7, 7]",0.1794,0.1798
features.15.conv.0.1,"[1, 960, 7, 7]",0.1794,0.1798
features.15.conv.0.2,"[1, 960, 7, 7]",0.1794,0.1798
features.15.conv.1.0,"[1, 960, 7, 7]",0.1794,0.1798
features.15.conv.1.1,"[1, 960, 7, 7]",0.1794,0.1798
features.15.conv.1.2,"[1, 960, 7, 7]",0.1794,0.1798
features.15.conv.2,"[1, 160, 7, 7]",0.0299,0.0303
features.15.conv.3,"[1, 160, 7, 7]",0.0299,0.0303
features.16.conv.0.0,"[1, 960, 7, 7]",0.1794,0.1798
features.16.conv.0.1,"[1, 960, 7, 7]",0.1794,0.1798
features.16.conv.0.2,"[1, 960, 7, 7]",0.1794,0.1798
features.16.conv.1.0,"[1, 960, 7, 7]",0.1794,0.1798
features.16.conv.1.1,"[1, 960, 7, 7]",0.1794,0.1798
features.16.conv.1.2,"[1, 960, 7, 7]",0.1794,0.1798
features.16.conv.2,"[1, 160, 7, 7]",0.0299,0.0303
features.16.conv.3,"[1, 160, 7, 7]",0.0299,0.0303
features.17.conv.0.0,"[1, 960, 7, 7]",0.1794,0.1798
features.17.conv.0.1,"[1, 960, 7, 7]",0.1794,0.1798
features.17.conv.0.2,"[1, 960, 7, 7]",0.1794,0.1798
features.17.conv.1.0,"[1, 960, 7, 7]",0.1794,0.1798
features.17.conv.1.1,"[1, 960, 7, 7]",0.1794,0.1798
features.17.conv.1.2,"[1, 960, 7, 7]",0.1794,0.1798
features.17.conv.2,"[1, 320, 7, 7]",0.0598,0.0602
features.17.conv.3,"[1, 320, 7, 7]",0.0598,0.0602
features.18.0,"[1, 1280, 7, 7]",0.2393,0.2397
features.18.1,"[1, 1280, 7, 7]",0.2393,0.2397
features.18.2,"[1, 1280, 7, 7]",0.2393,0.2397
classifier.0,"[1, 1280]",0.0049,0.0053
classifier.1,"[1, 1000]",0.0038,0.0042
